student_id,Age,Gender,classname,CoreStrengthScore,UpperBodyStrengthScore,FlexibilityScore,EnduranceScore,SpeedScore,AgilityScore,OverallScore,Height_cm,Weight_kg,BMI
ANON_067,13,M,Class 8,7.5,8.0,6.2,8.0,8.0,8.2,7.7,165.0,55.0,20.2
ANON_068,6,M,Class 1,3.2,3.0,7.5,4.0,5.2,6.5,4.9,118.0,21.0,15.1
ANON_069,12,F,Class 7,5.9,5.2,7.9,7.0,6.0,7.8,6.6,156.0,46.0,18.9
ANON_070,15,M,Class 10,9.0,8.8,6.8,9.0,9.2,9.0,9.0,174.0,66.0,21.8
ANON_071,10,F,Class 5,5.5,4.5,8.5,6.5,5.5,7.8,6.4,143.0,36.0,17.6
ANON_072,14,M,Class 9,8.0,8.5,6.0,8.5,8.5,8.2,8.3,170.0,61.0,21.1
ANON_073,8,F,Class 3,3.8,3.0,9.2,4.8,5.0,7.8,5.6,127.0,24.0,14.9
ANON_074,16,M,Class 11,8.5,9.2,6.5,8.8,8.5,8.0,8.6,177.0,72.0,23.0
ANON_075,11,M,Class 6,7.0,7.5,5.8,7.5,8.2,7.5,7.3,152.0,44.0,19.0
ANON_076,13,F,Class 8,6.8,6.0,8.5,7.8,6.5,8.0,7.3,161.0,51.0,19.7
ANON_077,15,F,Class 10,7.2,6.5,9.0,8.5,6.8,8.5,7.8,165.0,55.0,20.2
ANON_078,9,M,Class 4,4.5,5.0,6.0,5.5,6.8,6.5,5.7,137.0,31.0,16.5
ANON_079,12,M,Class 7,7.8,7.5,6.5,7.8,8.5,8.5,7.9,161.0,51.0,19.7
ANON_080,17,F,Class 12,8.2,7.5,9.2,8.8,7.2,8.8,8.3,168.0,58.0,20.5
ANON_081,10,M,Class 5,6.2,6.8,5.8,7.0,7.8,7.0,6.8,148.0,39.0,17.8
ANON_082,14,F,Class 9,7.5,6.5,8.8,8.2,6.8,8.5,7.7,163.0,54.0,20.3
ANON_083,16,M,Class 11,9.2,9.0,6.5,9.0,8.8,8.5,8.8,176.0,73.0,23.6
ANON_084,13,M,Class 8,7.2,7.5,6.0,7.8,8.0,8.0,7.5,164.0,54.0,20.1
ANON_085,11,F,Class 6,5.5,5.0,7.8,6.5,5.8,7.5,6.4,149.0,40.0,18.0
ANON_086,15,M,Class 10,8.8,8.5,7.0,8.8,9.0,8.8,8.7,174.0,65.0,21.5
ANON_087,7,M,Class 2,3.8,3.5,7.8,4.5,5.5,6.9,5.3,123.0,23.0,15.2
ANON_088,14,M,Class 9,8.5,8.2,6.8,8.5,8.5,8.5,8.5,170.0,62.0,21.5
ANON_089,12,F,Class 7,6.5,5.8,7.8,7.2,6.2,7.8,6.9,157.0,47.0,19.1
ANON_090,16,F,Class 11,8.0,7.2,9.0,8.8,7.5,8.8,8.2,167.0,58.0,20.8
ANON_091,9,F,Class 4,4.0,3.5,8.8,5.0,5.2,7.2,5.6,135.0,28.0,15.4
ANON_092,13,M,Class 8,8.2,8.0,6.5,8.5,8.8,8.8,8.3,166.0,56.0,20.3
ANON_093,11,M,Class 6,6.8,7.2,5.5,7.2,8.0,7.5,7.1,152.0,44.0,19.0
ANON_094,15,F,Class 10,7.8,7.0,9.2,8.8,7.2,8.8,8.1,165.0,56.0,20.6
ANON_095,10,F,Class 5,5.8,5.0,8.5,6.8,5.8,7.8,6.6,144.0,37.0,17.8
ANON_096,17,M,Class 12,9.0,9.5,7.2,9.0,8.8,8.8,9.1,179.0,75.0,23.4
ANON_097,14,F,Class 9,7.2,6.5,8.8,8.2,6.8,8.5,7.7,163.0,53.0,19.9
ANON_098,12,M,Class 7,7.5,8.0,5.8,7.8,8.5,8.2,7.7,162.0,52.0,19.8
ANON_099,8,F,Class 3,3.5,3.2,8.8,4.5,4.8,7.0,5.3,127.0,24.0,14.9
ANON_100,13,F,Class 8,6.8,6.0,8.2,7.5,6.5,8.0,7.2,160.0,51.0,19.9
